videoid,contentUrl,duration,data_dir,instruction,dynamic_confidence,dynamic_wording,dynamic_source_category,embodiment
32,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
33,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
34,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
35,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
36,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
37,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
38,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
39,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
40,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
41,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
42,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
43,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
44,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
45,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
46,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
47,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
48,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
49,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
50,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
51,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
52,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
53,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
54,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
55,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
56,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
57,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
58,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
59,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
60,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
61,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
62,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
63,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
64,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
65,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
66,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
67,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
68,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
69,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
70,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
71,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
72,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
73,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
74,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
75,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
76,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
77,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
78,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
79,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
80,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
81,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
82,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
83,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
84,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
85,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
86,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
87,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
88,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
89,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
90,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
91,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
92,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
93,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
94,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
95,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
96,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
97,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
98,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
99,x,x,metal_part_sort_v6/observation.images.cam_left_high,Pick the metal parts and sort them,x,x,x,Unitree G1 Robot with Gripper
